spec,roc_auc,avg_precision,recall_1
q=0.95 (main),1.0,1.0,1.0
q=0.90 (robustness),0.9994856959177114,0.9946367793172209,0.9607843137254902
combined labels,0.6406233491811939,0.4124699312416268,0.6
