Date,metric_value,threshold,stress_label,reason
2000-01-05 05:00:00,1.0412221801240762,1.1571591414707612,0,none
2000-01-06 05:00:00,1.0746776308443953,1.1571591414707612,0,none
2000-01-07 05:00:00,1.028802853317034,1.1571591414707612,0,none
2000-01-10 05:00:00,0.9250646371530028,1.1571591414707612,0,none
2000-01-11 05:00:00,0.816607320318674,1.1571591414707612,0,none
2000-01-12 05:00:00,0.7245127733695029,1.1571591414707612,0,none
2000-01-13 05:00:00,0.6376246017098367,1.1571591414707612,0,none
2000-01-14 05:00:00,0.5603773268078455,1.1571591414707612,0,none
2000-01-18 05:00:00,0.4830490996159858,1.1571591414707612,0,none
2000-01-19 05:00:00,0.3920910304543599,1.1571591414707612,0,none
2000-01-20 05:00:00,0.3160501461930088,1.1571591414707612,0,none
2000-01-21 05:00:00,0.246308376657082,1.1571591414707612,0,none
2000-01-24 05:00:00,0.1888917755621866,1.1571591414707612,0,none
2000-01-25 05:00:00,0.1403705147519788,1.1571591414707612,0,none
2000-01-26 05:00:00,0.1183393329512836,1.1571591414707612,0,none
2000-01-27 05:00:00,0.0997182058190552,1.1571591414707612,0,none
2000-01-28 05:00:00,0.090279382832605,1.1571591414707612,0,none
2000-01-31 05:00:00,0.095740401101638,1.1571591414707612,0,none
2000-02-01 05:00:00,0.0930269248582972,1.1571591414707612,0,none
2000-02-02 05:00:00,0.0547736352380833,1.1571591414707612,0,none
2000-02-03 05:00:00,0.0268115745465077,1.1571591414707612,0,none
2000-02-04 05:00:00,-0.0095483306652495,1.1571591414707612,0,none
2000-02-07 05:00:00,-0.0393964627953565,1.1571591414707612,0,none
2000-02-08 05:00:00,-0.0496817572248807,1.1571591414707612,0,none
2000-02-09 05:00:00,-0.0526501546472497,1.1571591414707612,0,none
2000-02-10 05:00:00,-0.0548047902730379,1.1571591414707612,0,none
2000-02-11 05:00:00,-0.0588375634186435,1.1571591414707612,0,none
2000-02-14 05:00:00,-0.0782465469493883,1.1571591414707612,0,none
2000-02-15 05:00:00,-0.0911034380914697,1.1571591414707612,0,none
2000-02-16 05:00:00,-0.0842321249433447,1.1571591414707612,0,none
2000-02-17 05:00:00,-0.075055983888178,1.1571591414707612,0,none
2000-02-18 05:00:00,-0.0537366602734661,1.1571591414707612,0,none
2000-02-22 05:00:00,-0.0407427866433075,1.1571591414707612,0,none
2000-02-23 05:00:00,-0.0481944590090136,1.1571591414707612,0,none
2000-02-24 05:00:00,-0.0966841212561179,1.1571591414707612,0,none
2000-02-25 05:00:00,-0.1524125683740699,1.1571591414707612,0,none
2000-02-28 05:00:00,-0.1974507883346396,1.1571591414707612,0,none
2000-02-29 05:00:00,-0.2952238243003558,1.1571591414707612,0,none
2000-03-01 05:00:00,-0.3669106908126367,1.1571591414707612,0,none
2000-03-02 05:00:00,-0.424521661124715,1.1571591414707612,0,none
2000-03-03 05:00:00,-0.4507547813929968,1.1571591414707612,0,none
2000-03-06 05:00:00,-0.4827192940588105,1.1571591414707612,0,none
2000-03-07 05:00:00,-0.4948436787577855,1.1571591414707612,0,none
2000-03-08 05:00:00,-0.5259733632457737,1.1571591414707612,0,none
2000-03-09 05:00:00,-0.5458215943431646,1.1571591414707612,0,none
2000-03-10 05:00:00,-0.5740364141548437,1.1571591414707612,0,none
2000-03-13 05:00:00,-0.6006402695370987,1.1571591414707612,0,none
2000-03-14 05:00:00,-0.622524163745414,1.1571591414707612,0,none
2000-03-15 05:00:00,-0.5951368300151837,1.1571591414707612,0,none
2000-03-16 05:00:00,-0.530858716549561,1.1571591414707612,0,none
2000-03-17 05:00:00,-0.4891066742812622,1.1571591414707612,0,none
2000-03-20 05:00:00,-0.4624780887011178,1.1571591414707612,0,none
2000-03-21 05:00:00,-0.4274275852744832,1.1571591414707612,0,none
2000-03-22 05:00:00,-0.3946863033347163,1.1571591414707612,0,none
2000-03-23 05:00:00,-0.3623863143765273,1.1571591414707612,0,none
2000-03-24 05:00:00,-0.3390215286217183,1.1571591414707612,0,none
2000-03-27 05:00:00,-0.2941404932388163,1.1571591414707612,0,none
2000-03-28 05:00:00,-0.2494326958393263,1.1571591414707612,0,none
2000-03-29 05:00:00,-0.2090731642756637,1.1571591414707612,0,none
2000-03-30 05:00:00,-0.1659688730136277,1.1571591414707612,0,none
2000-03-31 05:00:00,-0.1352895425499996,1.1571591414707612,0,none
2000-10-30 05:00:00,-0.2198731066405171,1.1571591414707612,0,none
2000-10-31 05:00:00,-0.2955109349719644,1.1571591414707612,0,none
2000-11-01 05:00:00,-0.3609487195757015,1.1571591414707612,0,none
2000-11-02 05:00:00,-0.4150737336288862,1.1571591414707612,0,none
2000-11-03 05:00:00,-0.4576868390307639,1.1571591414707612,0,none
2000-11-06 05:00:00,-0.4934801735177563,1.1571591414707612,0,none
2000-11-07 05:00:00,-0.5233810773917651,1.1571591414707612,0,none
2000-11-08 05:00:00,-0.561210819109039,1.1571591414707612,0,none
2000-11-09 05:00:00,-0.6517992501357732,1.1571591414707612,0,none
2000-11-10 05:00:00,-0.7178219222611895,1.1571591414707612,0,none
2000-11-13 05:00:00,-0.7725260952508768,1.1571591414707612,0,none
2000-11-14 05:00:00,-0.8470917730161693,1.1571591414707612,0,none
2000-11-15 05:00:00,-0.9066461171716932,1.1571591414707612,0,none
2000-11-16 05:00:00,-0.9825324436606204,1.1571591414707612,0,none
2000-11-17 05:00:00,-1.040316589008313,1.1571591414707612,0,none
2000-11-20 05:00:00,-1.0888915053459658,1.1571591414707612,0,none
2000-11-21 05:00:00,-1.120943296937588,1.1571591414707612,0,none
