Date,JPM,BAC,C,WFC,GS,MS,USB,PNC,TFC,CMA,CFG
2000-01-04 00:00:00-05:00,,,,,,,,,,,
2000-01-05 00:00:00-05:00,0.011309221577598456,0.05098547253664003,0.07261704594975438,0.02874553010118119,0.0120897592657847,0.028127358014677042,0.01048394276010104,0.02558438613086203,0.02961190866468211,0.028041714383309598,
2000-01-06 00:00:00-05:00,0.01818389682708049,0.07160773538145625,0.06165513915482039,0.047134322335537486,0.057455562667142336,0.048223810121466724,0.06067876097911117,0.03888567045638814,0.037691695207413646,0.035683718674718236,
2000-01-07 00:00:00-05:00,0.01876950394244176,0.06135229987613605,0.05072085226517609,0.04025882686610162,0.04888556480208702,0.050204710498466275,0.05224401804389914,0.03184465890977474,0.03080078376074359,0.029210861745786246,
2000-01-10 00:00:00-05:00,0.01820138624735048,0.055591653502635965,0.04407657343481553,0.03776827919957638,0.045711217051481255,0.04907557829822317,0.04604367425806521,0.03301539818360136,0.030917661759396572,0.02833040346417265,
2000-01-11 00:00:00-05:00,0.018438054364246583,0.05012272049975077,0.03995414695303008,0.034033923476208074,0.04129971208040027,0.043961824620641285,0.045590901475367734,0.02969228799811091,0.03002709151537529,0.026210053696173446,
2000-01-12 00:00:00-05:00,0.017478224412560632,0.04634035804899817,0.03870762068650329,0.03396463015348899,0.03770596283627932,0.0404126175694599,0.0454653712891025,0.03038103693364002,0.030451616167383354,0.026616486519603216,
2000-01-13 00:00:00-05:00,0.0175816537336377,0.04406410501548598,0.035899179910587664,0.03734463786216471,0.03502322802584177,0.03755960246335625,0.04642552471402279,0.041407976789706126,0.039043589330584653,0.0255281191615288,
2000-01-14 00:00:00-05:00,0.02061854246732195,0.04614015844243044,0.035634352272551954,0.03601751037952326,0.03335158910899448,0.03736414998728197,0.043727668466143746,0.03883901520962878,0.037488056784881485,0.026578185199491483,
2000-01-18 00:00:00-05:00,0.02351423493335994,0.046897171452304466,0.033599442702239544,0.04176688307581564,0.0319511164228114,0.0363638931827552,0.04126508791950431,0.03783989183918033,0.04019642247150762,0.025892412377511338,
2000-01-19 00:00:00-05:00,0.02612799609439418,0.04449140438004751,0.03205581110489372,0.043020638297575735,0.030447213693221228,0.03479287219292237,0.040313848808713394,0.03657988291864386,0.03870740891246307,0.024662102589950167,
2000-01-20 00:00:00-05:00,0.02492615923499216,0.04275818395862381,0.03178090764315396,0.04103971862159006,0.02942250771404064,0.03323910390062126,0.040680979629481806,0.03646711463151338,0.03898558090126831,0.02627971547701073,
2000-01-21 00:00:00-05:00,0.024332968872150383,0.04164796737174653,0.03300982792489925,0.039455693510044625,0.028170686025913688,0.03218991495802788,0.03977825602009074,0.03497273629542671,0.0373698928635449,0.025199888014643075,
2000-01-24 00:00:00-05:00,0.023378555130656106,0.04038508880899483,0.032539158435985586,0.038136742736580534,0.029598371382291617,0.032186416719693724,0.03844716440413326,0.03380500496069403,0.036895468763733494,0.024215618141967613,
2000-01-25 00:00:00-05:00,0.023201440977462285,0.03920807538604152,0.03145114170471491,0.03928930612828962,0.029629068290028378,0.03124837625191376,0.03716732856314208,0.032708371852555485,0.03555446130885467,0.023387658947911207,
2000-01-26 00:00:00-05:00,0.025409235024301913,0.03974075161442881,0.03168657450905681,0.03808597811903208,0.031668618995594484,0.03103580441836307,0.037550727445266274,0.03205646266093485,0.03744281138061277,0.025961448496680133,
2000-01-27 00:00:00-05:00,0.025244803062126075,0.03887120823488285,0.03076094349614215,0.037487877169536395,0.030730960261836568,0.0303514528864285,0.036399267139078886,0.03175600188125017,0.03631586589995656,0.025609971257221722,
2000-01-28 00:00:00-05:00,0.027953091047483745,0.03952537511644416,0.032656561811284235,0.036398338226056565,0.03031354949287471,0.03321556441932549,0.03690373586769403,0.031329937786206796,0.035507186683488075,0.02488472682473393,
2000-01-31 00:00:00-05:00,0.029286723328863718,0.04082334065977638,0.03186142512404961,0.03613990813801823,0.03183105242612456,0.034161203655620004,0.0389388827307614,0.03180098367144543,0.034650196913947294,0.026042104146472525,
2000-02-01 00:00:00-05:00,0.02936805724809252,0.039818308302587826,0.03126780476486318,0.0352429999988481,0.0310122024165174,0.03409501247866559,0.03797021145366031,0.03095663495888552,0.033777217906501886,0.025350988261757,
2000-02-02 00:00:00-05:00,0.02909684558015249,0.03765825553582621,0.027125321273821733,0.033933875471435546,0.0267767100254585,0.029464327892594736,0.036429108194144064,0.031044761466581628,0.03301893564431125,0.02344251856754154,
2000-02-03 00:00:00-05:00,0.028919483146461835,0.03818868229280493,0.02681375394094758,0.03383169769725179,0.028768130126623753,0.02804018781390315,0.03673950838139668,0.03190888468679813,0.03300702051122464,0.023437910525679884,
2000-02-04 00:00:00-05:00,0.02944250675572382,0.033056779186931805,0.025752101972695386,0.03254338188825847,0.0274457013663588,0.027906541753166494,0.037725929234120076,0.030941026059896466,0.032897347961633794,0.022789466198514904,
2000-02-07 00:00:00-05:00,0.029319152534404126,0.03270240010799155,0.025781062361086154,0.032354696917816644,0.027551719425445053,0.027277214285094206,0.03704058374920523,0.031061287892801936,0.03461207073123901,0.023196678370279892,
2000-02-08 00:00:00-05:00,0.029424245311501618,0.03314330686844147,0.026554332611924938,0.031769304919367934,0.028675349487927937,0.02766738499775459,0.03780570844705024,0.030049905000058393,0.03413459463047416,0.022082707304412686,
2000-02-09 00:00:00-05:00,0.029554283362117986,0.03318916973303573,0.02751080021284943,0.032196362139425845,0.02962614540649525,0.027777713500747897,0.03732360555037493,0.03047901280237767,0.03356479677255821,0.021666735586523957,
